text,label,in_manual
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham,True
Hope you are ENJOYING a great day.,ham,True
"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",smishing,True
I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,ham,True
Its sarcasm.. .nt scarcasim,ham,True
Si si. I think ill go make those oreo truffles.,ham,True
U 2.,ham,True
Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham,True
"Alright, see you in a bit",ham,True
O we cant see if we can join denis and mina? Or does denis want alone time,ham,True
"Y cant u try new invention to fly..i'm not joking.,",ham,True
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,smishing,True
"No, but you told me you were going, before you got drunk!",ham,True
I dont understand your message.,ham,True
Yup... How ü noe leh...,ham,True
excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,ham,True
Already am squatting is the new way of walking,ham,True
"Sorry, I'll call later�buzy",ham,True
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",ham,True
	A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,smishing,True
You have been randomly selected for a BestBuy gift. Get your $1000 gift card at www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck,smishing,True
"That's what I love to hear :V see you sundayish, then",ham,True
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,True
"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",ham,True
"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.7,00,000 Bonus Prize, call 8927307655",smishing,True
These won't do. Have to move on to morphine,ham,True
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",ham,True
I can do that! I want to please you both inside and outside the bedroom...,ham,True
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,spam,True
They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,ham,True
	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam,True
	You have 1 new voicemail. Please call 08719181503,smishing,True
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham,True
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,ham,True
Ha ha ha good joke. Girls are situation seekers.,ham,True
At 4. Let's go to bill millers,ham,True
We'll join the  &lt;#&gt;  bus,ham,True
"To cancel this order you should visit http/aetacms.com/.cas/auo.html/redirect-aopis.it�to review your details. if you need additional help, contact Apple Support.",smishing,True
One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,ham,True
Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,spam,True
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,True
THANX 4 PUTTIN DA FONE DOWN ON ME!!,ham,True
"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...",ham,True
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,smishing,True
Sac needs to carry on:),ham,True
I uploaded mine to Facebook,ham,True
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",ham,True
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",ham,True
I'm vivek:)i got call from your number.,ham,True
I havent add ü yet right..,ham,True
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham,True
"	Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",smishing,True
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,smishing,True
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",ham,True
You still at the game?,ham,True
It certainly puts things into perspective when something like this happens,ham,True
Its just the effect of irritation. Just ignore it,ham,True
"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",spam,True
I accidentally deleted the message. Resend please.,ham,True
Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),ham,True
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham,True
U can call now...,ham,True
I like to talk pa but am not able to. I dont know y.,ham,True
Oi when you gonna ring,ham,True
Kent vale lor... Ü wait 4 me there ar?,ham,True
Thanx 4 e brownie it's v nice...,ham,True
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003092 from land line. Claim C52. Valid 12hrs only,smishing,True
Ok... C ya...,ham,True
"Ever green  ""A Person Who Irritates u Always Is the one Who Loves u Vry Much!!",ham,True
As per your request 'Maangalyam (Thirupathe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,True
He  chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham,True
Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,ham,True
K.k.this month kotees birthday know?,ham,True
That is wondar full flim.,ham,True
88800 and 89034 are premium phone services call 08718711108,spam,True
Why nothing. Ok anyway give me treat,ham,True
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham,True
Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,ham,True
Oh yah... We never cancel leh... Haha,ham,True
Reckon need to be in town by eightish to walk from * carpark.,ham,True
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",ham,True
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,ham,True
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham,True
You busy or can I come by at some point and figure out what we're doing tomorrow,ham,True
Mum not going robinson already.,ham,True
What's a feathery bowa? Is that something guys have that I don't know about?,ham,True
i see. When we finish we have loads of loans to pay,ham,True
Lol that's different. I don't go trying to find every real life photo you ever took.,ham,True
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call  on 08002986905,smishing,True
I will come to ur home now,ham,True
How are you with moneY...as in to you...money aint a thing....how are you sha!,ham,True
"Sorry da thangam, very very sorry i am held up with prasad.",ham,True
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",ham,True
I'm in class. Did you get my text.,ham,True
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,ham,True
Sorry de i went to shop.,ham,True
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam,True
"Night night, see you tomorrow",ham,True
Hey i will be late ah... Meet you at 945+,ham,True
Then she buying today? Ü no need to c meh...,ham,True
"	Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",smishing,True
But pls dont play in others life.,ham,True
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,True
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,True
"Haha good to hear, I'm officially paid and on the market for an 8th",ham,True
Huh? 6 also cannot? Then only how many mistakes?,ham,True
Where is it. Is there any opening for mca.,ham,True
I am not having her number sir,ham,True
NO GIFTS!! You trying to get me to throw myself off a cliff or something?,ham,True
I'm really not up to it still tonight babe,ham,True
But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham,True
"Sorry, I'll call later..hav eto go..",ham,True
"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",smishing,True
Waiting in e car 4 my mum lor. U leh? Reach home already?,ham,True
Badrith is only for chennai:)i will surely pick for us:)no competition for him.,ham,True
But if she.s drinkin i'm ok.,ham,True
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham,True
Convey my regards to him�all the best..,ham,True
"Haha awesome, be there in a minute",ham,True
What is the plural of the noun research?,ham,True
Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,ham,True
"Do you know why god created gap between your fingers..? So that, One who is made for you comes and fills those gaps by holding your hand with CARE..!",ham,True
Exactly. Anyways how far. Is jide her to study or just visiting,ham,True
So what do you guys do.,ham,True
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,smishing,True
	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,smishing,True
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,ham,True
You are a winner U have been specially selected 2 receive £2000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910,smishing,True
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham,True
New car and house for my parents.:)i have only new job in hand:),ham,True
Where in abj are you serving. Are you staying with dad or alone.,ham,True
Shuhui has bought ron's present it's a swatch watch...,ham,True
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,smishing,True
Aight sorry I take ten years to shower. What's the plan?,ham,True
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,True
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,ham,True
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham,True
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. ",smishing,True
:),ham,True
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham,True
"Haha awesome, omw back now then",ham,True
"Please protect yourself from e-threats. YES bank never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham,True
But i'll b going 2 sch on mon. My sis need 2 take smth.,ham,True
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,True
"Not sure yet, still trying to get a hold of him",ham,True
Hey... Why dont we just go watch x men and have lunch... Haha,ham,True
"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",spam,True
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,True
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",ham,True
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham,True
Long after I quit. I get on only like 5 minutes a day as it is.,ham,True
Its ok my arm is feeling weak cuz i got a shot so we can go another time,ham,True
	lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,spam,True
WHAT TIME U WRKIN?,ham,True
Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,ham,True
"Not yet chikku..going to room nw, i'm in bus..",ham,True
1's finish meeting call me.,ham,True
Cool. So how come you havent been wined and dined before?,ham,True
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",ham,True
Oh dang! I didn't mean o send that to you! Lol!,ham,True
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,ham,True
Is there any training tomorrow?,ham,True
I am going to try for 2 months ha ha only joking,ham,True
	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,smishing,True
Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,ham,True
"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",ham,True
Was the actual exam harder than NBME,ham,True
Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,ham,True
great loxahatchee xmas tree burning update: you can totally see stars here,ham,True
I am late. I will be there by 3,ham,True
